**** File name: ./output/750MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	364363/576564 	 [%] = 63.195586
Xor file present: 	364486/576564 	 [%] = 63.216920
**** File name: ./output/750MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	522837/576564 	 [%] = 90.681520
Xor file present: 	364486/576564 	 [%] = 63.216920
**** File name: ./output/750MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	363492/576564 	 [%] = 63.044519
Xor file present: 	364443/576564 	 [%] = 63.209462
**** File name: ./output/750MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	522689/576564 	 [%] = 90.655851
Xor file present: 	364443/576564 	 [%] = 63.209462
**** File name: ./output/750MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	364110/576564 	 [%] = 63.151706
Xor file present: 	364290/576564 	 [%] = 63.182925
**** File name: ./output/750MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	522510/576564 	 [%] = 90.624805
Xor file present: 	364290/576564 	 [%] = 63.182925
**** File name: ./output/750MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	364209/576564 	 [%] = 63.168876
Xor file present: 	364317/576564 	 [%] = 63.187608
**** File name: ./output/750MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	523381/576564 	 [%] = 90.775872
Xor file present: 	364317/576564 	 [%] = 63.187608
**** File name: ./output/750MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	364043/576564 	 [%] = 63.140085
Xor file present: 	364354/576564 	 [%] = 63.194025
**** File name: ./output/750MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	522787/576564 	 [%] = 90.672848
Xor file present: 	364354/576564 	 [%] = 63.194025
**** File name: ./output/750MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	364217/576564 	 [%] = 63.170264
Xor file present: 	364433/576564 	 [%] = 63.207727
**** File name: ./output/750MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	523171/576564 	 [%] = 90.739450
Xor file present: 	364433/576564 	 [%] = 63.207727
**** File name: ./output/750MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	495973/576564 	 [%] = 86.022194
Xor file present: 	497167/576564 	 [%] = 86.229282
**** File name: ./output/750MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	575957/576564 	 [%] = 99.894721
Xor file present: 	497167/576564 	 [%] = 86.229282
**** File name: ./output/750MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	494157/576564 	 [%] = 85.707224
Xor file present: 	495414/576564 	 [%] = 85.925240
**** File name: ./output/750MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	575936/576564 	 [%] = 99.891079
Xor file present: 	495414/576564 	 [%] = 85.925240
**** File name: ./output/750MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	491475/576564 	 [%] = 85.242055
Xor file present: 	496196/576564 	 [%] = 86.060871
**** File name: ./output/750MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	575825/576564 	 [%] = 99.871827
Xor file present: 	496196/576564 	 [%] = 86.060871
**** File name: ./output/750MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	494256/576564 	 [%] = 85.724395
Xor file present: 	495406/576564 	 [%] = 85.923852
**** File name: ./output/750MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	575913/576564 	 [%] = 99.887090
Xor file present: 	495406/576564 	 [%] = 85.923852
**** File name: ./output/750MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	494012/576564 	 [%] = 85.682075
Xor file present: 	494809/576564 	 [%] = 85.820308
**** File name: ./output/750MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	575872/576564 	 [%] = 99.879979
Xor file present: 	494809/576564 	 [%] = 85.820308
**** File name: ./output/750MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	493522/576564 	 [%] = 85.597089
Xor file present: 	495639/576564 	 [%] = 85.964264
**** File name: ./output/750MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	575825/576564 	 [%] = 99.871827
Xor file present: 	495639/576564 	 [%] = 85.964264
**** File name: ./output/750MB-spr3-no1.bin_clear_data.in ****
Clear file present: 	545577/576564 	 [%] = 94.625575
Xor file present: 	546935/576564 	 [%] = 94.861108
**** File name: ./output/750MB-spr3-no1.bin_clear_data.in ****
Clear file present: 	576554/576564 	 [%] = 99.998266
Xor file present: 	546935/576564 	 [%] = 94.861108
**** File name: ./output/750MB-spr3-no2.bin_clear_data.in ****
Clear file present: 	547434/576564 	 [%] = 94.947655
Xor file present: 	546555/576564 	 [%] = 94.795201
**** File name: ./output/750MB-spr3-no2.bin_clear_data.in ****
Clear file present: 	576555/576564 	 [%] = 99.998439
Xor file present: 	546555/576564 	 [%] = 94.795201
**** File name: ./output/750MB-spr3-no3.bin_clear_data.in ****
Clear file present: 	545368/576564 	 [%] = 94.589326
Xor file present: 	547708/576564 	 [%] = 94.995178
**** File name: ./output/750MB-spr3-no3.bin_clear_data.in ****
Clear file present: 	576552/576564 	 [%] = 99.997919
Xor file present: 	547708/576564 	 [%] = 94.995178
**** File name: ./output/750MB-spr3-no4.bin_clear_data.in ****
Clear file present: 	545996/576564 	 [%] = 94.698247
Xor file present: 	547385/576564 	 [%] = 94.939157
**** File name: ./output/750MB-spr3-no4.bin_clear_data.in ****
Clear file present: 	576556/576564 	 [%] = 99.998612
Xor file present: 	547385/576564 	 [%] = 94.939157
**** File name: ./output/750MB-spr3-no5.bin_clear_data.in ****
Clear file present: 	545830/576564 	 [%] = 94.669456
Xor file present: 	547264/576564 	 [%] = 94.918170
**** File name: ./output/750MB-spr3-no5.bin_clear_data.in ****
Clear file present: 	576551/576564 	 [%] = 99.997745
Xor file present: 	547264/576564 	 [%] = 94.918170
**** File name: ./output/750MB-spr3-no6.bin_clear_data.in ****
Clear file present: 	546070/576564 	 [%] = 94.711082
Xor file present: 	547026/576564 	 [%] = 94.876891
**** File name: ./output/750MB-spr3-no6.bin_clear_data.in ****
Clear file present: 	576555/576564 	 [%] = 99.998439
Xor file present: 	547026/576564 	 [%] = 94.876891
**** File name: ./output/750MB-spr4-no1.bin_clear_data.in ****
Clear file present: 	565386/576564 	 [%] = 98.061273
Xor file present: 	565688/576564 	 [%] = 98.113653
