**** File name: ./output/1MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	492/769 	 [%] = 63.979194
Xor file present: 	477/769 	 [%] = 62.028609
**** File name: ./output/1MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	705/769 	 [%] = 91.677503
Xor file present: 	477/769 	 [%] = 62.028609
**** File name: ./output/1MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	489/769 	 [%] = 63.589077
Xor file present: 	485/769 	 [%] = 63.068921
**** File name: ./output/1MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	711/769 	 [%] = 92.457737
Xor file present: 	485/769 	 [%] = 63.068921
**** File name: ./output/1MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	487/769 	 [%] = 63.328999
Xor file present: 	497/769 	 [%] = 64.629389
**** File name: ./output/1MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	687/769 	 [%] = 89.336801
Xor file present: 	497/769 	 [%] = 64.629389
**** File name: ./output/1MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	475/769 	 [%] = 61.768531
Xor file present: 	505/769 	 [%] = 65.669701
**** File name: ./output/1MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	683/769 	 [%] = 88.816645
Xor file present: 	505/769 	 [%] = 65.669701
**** File name: ./output/1MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	485/769 	 [%] = 63.068921
Xor file present: 	500/769 	 [%] = 65.019506
**** File name: ./output/1MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	699/769 	 [%] = 90.897269
Xor file present: 	500/769 	 [%] = 65.019506
**** File name: ./output/1MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	483/769 	 [%] = 62.808843
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	674/769 	 [%] = 87.646294
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	473/769 	 [%] = 61.508453
Xor file present: 	502/769 	 [%] = 65.279584
**** File name: ./output/1MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	685/769 	 [%] = 89.076723
Xor file present: 	502/769 	 [%] = 65.279584
**** File name: ./output/1MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	482/769 	 [%] = 62.678804
Xor file present: 	479/769 	 [%] = 62.288687
**** File name: ./output/1MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	689/769 	 [%] = 89.596879
Xor file present: 	479/769 	 [%] = 62.288687
**** File name: ./output/1MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	478/769 	 [%] = 62.158648
Xor file present: 	489/769 	 [%] = 63.589077
**** File name: ./output/1MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	697/769 	 [%] = 90.637191
Xor file present: 	489/769 	 [%] = 63.589077
**** File name: ./output/1MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	479/769 	 [%] = 62.288687
Xor file present: 	484/769 	 [%] = 62.938882
