**** File name: ./output/10MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	4764/7688 	 [%] = 61.966701
Xor file present: 	4856/7688 	 [%] = 63.163371
**** File name: ./output/10MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	6908/7688 	 [%] = 89.854318
Xor file present: 	4856/7688 	 [%] = 63.163371
**** File name: ./output/10MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	4808/7688 	 [%] = 62.539022
Xor file present: 	4859/7688 	 [%] = 63.202393
**** File name: ./output/10MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	6955/7688 	 [%] = 90.465661
Xor file present: 	4859/7688 	 [%] = 63.202393
**** File name: ./output/10MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	4815/7688 	 [%] = 62.630073
Xor file present: 	4895/7688 	 [%] = 63.670656
**** File name: ./output/10MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	6842/7688 	 [%] = 88.995838
Xor file present: 	4895/7688 	 [%] = 63.670656
**** File name: ./output/10MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	4687/7688 	 [%] = 60.965140
Xor file present: 	4692/7688 	 [%] = 61.030177
**** File name: ./output/10MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	6752/7688 	 [%] = 87.825182
Xor file present: 	4692/7688 	 [%] = 61.030177
**** File name: ./output/10MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	4844/7688 	 [%] = 63.007284
Xor file present: 	4854/7688 	 [%] = 63.137357
**** File name: ./output/10MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	6912/7688 	 [%] = 89.906348
Xor file present: 	4854/7688 	 [%] = 63.137357
**** File name: ./output/10MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	4896/7688 	 [%] = 63.683663
Xor file present: 	4847/7688 	 [%] = 63.046306
**** File name: ./output/10MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	6939/7688 	 [%] = 90.257544
Xor file present: 	4847/7688 	 [%] = 63.046306
**** File name: ./output/10MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	4673/7688 	 [%] = 60.783039
Xor file present: 	4742/7688 	 [%] = 61.680541
**** File name: ./output/10MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	6733/7688 	 [%] = 87.578044
Xor file present: 	4742/7688 	 [%] = 61.680541
**** File name: ./output/10MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	4638/7688 	 [%] = 60.327784
Xor file present: 	4757/7688 	 [%] = 61.875650
