**** File name: ./output/250MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	106420/192188 	 [%] = 55.372864
Xor file present: 	121496/192188 	 [%] = 63.217266
**** File name: ./output/250MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	161146/192188 	 [%] = 83.848107
Xor file present: 	121496/192188 	 [%] = 63.217266
**** File name: ./output/250MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	106377/192188 	 [%] = 55.350490
Xor file present: 	121560/192188 	 [%] = 63.250567
**** File name: ./output/250MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	161778/192188 	 [%] = 84.176952
Xor file present: 	121560/192188 	 [%] = 63.250567
**** File name: ./output/250MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	107909/192188 	 [%] = 56.147626
Xor file present: 	121633/192188 	 [%] = 63.288551
**** File name: ./output/250MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	162894/192188 	 [%] = 84.757633
Xor file present: 	121633/192188 	 [%] = 63.288551
**** File name: ./output/250MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	105006/192188 	 [%] = 54.637126
Xor file present: 	121300/192188 	 [%] = 63.115283
**** File name: ./output/250MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	159777/192188 	 [%] = 83.135784
Xor file present: 	121300/192188 	 [%] = 63.115283
**** File name: ./output/250MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	106854/192188 	 [%] = 55.598685
Xor file present: 	121353/192188 	 [%] = 63.142860
**** File name: ./output/250MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	161949/192188 	 [%] = 84.265927
Xor file present: 	121353/192188 	 [%] = 63.142860
**** File name: ./output/250MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	105465/192188 	 [%] = 54.875955
Xor file present: 	121384/192188 	 [%] = 63.158990
**** File name: ./output/250MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	160026/192188 	 [%] = 83.265344
Xor file present: 	121384/192188 	 [%] = 63.158990
**** File name: ./output/250MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	105300/192188 	 [%] = 54.790101
Xor file present: 	121651/192188 	 [%] = 63.297917
**** File name: ./output/250MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	160380/192188 	 [%] = 83.449539
Xor file present: 	121651/192188 	 [%] = 63.297917
**** File name: ./output/250MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	104813/192188 	 [%] = 54.536704
Xor file present: 	121498/192188 	 [%] = 63.218307
**** File name: ./output/250MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	159623/192188 	 [%] = 83.055654
Xor file present: 	121498/192188 	 [%] = 63.218307
**** File name: ./output/250MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	105238/192188 	 [%] = 54.757841
Xor file present: 	121438/192188 	 [%] = 63.187088
**** File name: ./output/250MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	159938/192188 	 [%] = 83.219556
Xor file present: 	121438/192188 	 [%] = 63.187088
**** File name: ./output/250MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	103532/192188 	 [%] = 53.870169
Xor file present: 	121693/192188 	 [%] = 63.319770
**** File name: ./output/250MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	158510/192188 	 [%] = 82.476533
Xor file present: 	121693/192188 	 [%] = 63.319770
