**** File name: ./output/10MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	3996/7688 	 [%] = 51.977107
Xor file present: 	4854/7688 	 [%] = 63.137357
**** File name: ./output/10MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	6157/7688 	 [%] = 80.085848
Xor file present: 	4854/7688 	 [%] = 63.137357
**** File name: ./output/10MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	4418/7688 	 [%] = 57.466181
Xor file present: 	4859/7688 	 [%] = 63.202393
**** File name: ./output/10MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	6635/7688 	 [%] = 86.303330
Xor file present: 	4859/7688 	 [%] = 63.202393
**** File name: ./output/10MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	2667/7688 	 [%] = 34.690427
Xor file present: 	4463/7688 	 [%] = 58.051509
**** File name: ./output/10MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	3787/7688 	 [%] = 49.258585
Xor file present: 	4463/7688 	 [%] = 58.051509
**** File name: ./output/10MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	2395/7688 	 [%] = 31.152445
Xor file present: 	4440/7688 	 [%] = 57.752341
**** File name: ./output/10MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	3254/7688 	 [%] = 42.325702
Xor file present: 	4440/7688 	 [%] = 57.752341
**** File name: ./output/10MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	2893/7688 	 [%] = 37.630073
Xor file present: 	4442/7688 	 [%] = 57.778356
**** File name: ./output/10MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	4174/7688 	 [%] = 54.292404
Xor file present: 	4442/7688 	 [%] = 57.778356
**** File name: ./output/10MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	4178/7688 	 [%] = 54.344433
Xor file present: 	4768/7688 	 [%] = 62.018730
**** File name: ./output/10MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	6240/7688 	 [%] = 81.165453
Xor file present: 	4768/7688 	 [%] = 62.018730
**** File name: ./output/10MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	2818/7688 	 [%] = 36.654527
Xor file present: 	4861/7688 	 [%] = 63.228408
**** File name: ./output/10MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	4297/7688 	 [%] = 55.892300
Xor file present: 	4861/7688 	 [%] = 63.228408
**** File name: ./output/10MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	3116/7688 	 [%] = 40.530697
Xor file present: 	4389/7688 	 [%] = 57.088970
