**** File name: ./output/500MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	200897/384376 	 [%] = 52.265750
Xor file present: 	243013/384376 	 [%] = 63.222730
**** File name: ./output/500MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	309879/384376 	 [%] = 80.618717
Xor file present: 	243013/384376 	 [%] = 63.222730
**** File name: ./output/500MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	202716/384376 	 [%] = 52.738985
Xor file present: 	242629/384376 	 [%] = 63.122828
**** File name: ./output/500MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	311410/384376 	 [%] = 81.017025
Xor file present: 	242629/384376 	 [%] = 63.122828
**** File name: ./output/500MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	202256/384376 	 [%] = 52.619310
Xor file present: 	242737/384376 	 [%] = 63.150925
**** File name: ./output/500MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	311474/384376 	 [%] = 81.033675
Xor file present: 	242737/384376 	 [%] = 63.150925
**** File name: ./output/500MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	202067/384376 	 [%] = 52.570140
Xor file present: 	242608/384376 	 [%] = 63.117364
**** File name: ./output/500MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	310425/384376 	 [%] = 80.760766
Xor file present: 	242608/384376 	 [%] = 63.117364
**** File name: ./output/500MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	200965/384376 	 [%] = 52.283441
Xor file present: 	242999/384376 	 [%] = 63.219088
**** File name: ./output/500MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	309733/384376 	 [%] = 80.580733
Xor file present: 	242999/384376 	 [%] = 63.219088
**** File name: ./output/500MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	196973/384376 	 [%] = 51.244875
Xor file present: 	243175/384376 	 [%] = 63.264876
**** File name: ./output/500MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	305353/384376 	 [%] = 79.441224
Xor file present: 	243175/384376 	 [%] = 63.264876
**** File name: ./output/500MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	197612/384376 	 [%] = 51.411118
Xor file present: 	242711/384376 	 [%] = 63.144161
**** File name: ./output/500MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	305454/384376 	 [%] = 79.467501
Xor file present: 	242711/384376 	 [%] = 63.144161
**** File name: ./output/500MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	202866/384376 	 [%] = 52.778009
Xor file present: 	242328/384376 	 [%] = 63.044519
**** File name: ./output/500MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	312049/384376 	 [%] = 81.183268
Xor file present: 	242328/384376 	 [%] = 63.044519
**** File name: ./output/500MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	200697/384376 	 [%] = 52.213718
Xor file present: 	243132/384376 	 [%] = 63.253689
**** File name: ./output/500MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	309330/384376 	 [%] = 80.475888
Xor file present: 	243132/384376 	 [%] = 63.253689
**** File name: ./output/500MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	194037/384376 	 [%] = 50.481039
Xor file present: 	242701/384376 	 [%] = 63.141559
**** File name: ./output/500MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	300837/384376 	 [%] = 78.266333
Xor file present: 	242701/384376 	 [%] = 63.141559
**** File name: ./output/500MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	186285/384376 	 [%] = 48.464264
Xor file present: 	242582/384376 	 [%] = 63.110600
**** File name: ./output/500MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	291426/384376 	 [%] = 75.817949
Xor file present: 	242582/384376 	 [%] = 63.110600
**** File name: ./output/500MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	192688/384376 	 [%] = 50.130081
Xor file present: 	242991/384376 	 [%] = 63.217006
**** File name: ./output/500MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	298922/384376 	 [%] = 77.768123
Xor file present: 	242991/384376 	 [%] = 63.217006
**** File name: ./output/500MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	186782/384376 	 [%] = 48.593565
Xor file present: 	239917/384376 	 [%] = 62.417269
**** File name: ./output/500MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	289346/384376 	 [%] = 75.276812
Xor file present: 	239917/384376 	 [%] = 62.417269
**** File name: ./output/500MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	162088/384376 	 [%] = 42.169126
Xor file present: 	238729/384376 	 [%] = 62.108196
**** File name: ./output/500MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	250812/384376 	 [%] = 65.251733
Xor file present: 	238729/384376 	 [%] = 62.108196
**** File name: ./output/500MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	168642/384376 	 [%] = 43.874227
Xor file present: 	234198/384376 	 [%] = 60.929402
**** File name: ./output/500MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	258057/384376 	 [%] = 67.136606
Xor file present: 	234198/384376 	 [%] = 60.929402
**** File name: ./output/500MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	172805/384376 	 [%] = 44.957281
Xor file present: 	219828/384376 	 [%] = 57.190876
**** File name: ./output/500MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	255182/384376 	 [%] = 66.388640
Xor file present: 	219828/384376 	 [%] = 57.190876
**** File name: ./output/500MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	175857/384376 	 [%] = 45.751296
Xor file present: 	194081/384376 	 [%] = 50.492487
**** File name: ./output/500MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	244727/384376 	 [%] = 63.668647
Xor file present: 	194081/384376 	 [%] = 50.492487
**** File name: ./output/500MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	146450/384376 	 [%] = 38.100714
Xor file present: 	169446/384376 	 [%] = 44.083398
**** File name: ./output/500MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	187225/384376 	 [%] = 48.708816
Xor file present: 	169446/384376 	 [%] = 44.083398
**** File name: ./output/500MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	116025/384376 	 [%] = 30.185287
Xor file present: 	123992/384376 	 [%] = 32.257997
**** File name: ./output/500MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	130890/384376 	 [%] = 34.052594
Xor file present: 	123992/384376 	 [%] = 32.257997
**** File name: ./output/500MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	97958/384376 	 [%] = 25.484942
Xor file present: 	107334/384376 	 [%] = 27.924220
**** File name: ./output/500MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	105883/384376 	 [%] = 27.546725
Xor file present: 	107334/384376 	 [%] = 27.924220
**** File name: ./output/500MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	82278/384376 	 [%] = 21.405603
Xor file present: 	89941/384376 	 [%] = 23.399224
**** File name: ./output/500MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	86285/384376 	 [%] = 22.448072
Xor file present: 	89941/384376 	 [%] = 23.399224
**** File name: ./output/500MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	73024/384376 	 [%] = 18.998064
Xor file present: 	79569/384376 	 [%] = 20.700824
**** File name: ./output/500MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	75342/384376 	 [%] = 19.601120
Xor file present: 	79569/384376 	 [%] = 20.700824
**** File name: ./output/500MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	65560/384376 	 [%] = 17.056216
Xor file present: 	66998/384376 	 [%] = 17.430329
**** File name: ./output/500MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	67041/384376 	 [%] = 17.441516
Xor file present: 	66998/384376 	 [%] = 17.430329
**** File name: ./output/500MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	41343/384376 	 [%] = 10.755874
Xor file present: 	43940/384376 	 [%] = 11.431515
**** File name: ./output/500MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	41582/384376 	 [%] = 10.818053
Xor file present: 	43940/384376 	 [%] = 11.431515
**** File name: ./output/500MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	40742/384376 	 [%] = 10.599517
Xor file present: 	44221/384376 	 [%] = 11.504620
**** File name: ./output/500MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	40982/384376 	 [%] = 10.661956
Xor file present: 	44221/384376 	 [%] = 11.504620
**** File name: ./output/500MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	39786/384376 	 [%] = 10.350802
Xor file present: 	41262/384376 	 [%] = 10.734801
**** File name: ./output/500MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	39987/384376 	 [%] = 10.403095
Xor file present: 	41262/384376 	 [%] = 10.734801
**** File name: ./output/500MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	29040/384376 	 [%] = 7.555102
Xor file present: 	216366/384376 	 [%] = 56.290195
**** File name: ./output/500MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	29959/384376 	 [%] = 7.794191
Xor file present: 	216366/384376 	 [%] = 56.290195
**** File name: ./output/500MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	31186/384376 	 [%] = 8.113410
Xor file present: 	224408/384376 	 [%] = 58.382417
**** File name: ./output/500MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	32552/384376 	 [%] = 8.468791
Xor file present: 	224408/384376 	 [%] = 58.382417
**** File name: ./output/500MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	27157/384376 	 [%] = 7.065217
Xor file present: 	190016/384376 	 [%] = 49.434928
**** File name: ./output/500MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	27659/384376 	 [%] = 7.195819
Xor file present: 	190016/384376 	 [%] = 49.434928
**** File name: ./output/500MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	25347/384376 	 [%] = 6.594324
Xor file present: 	149023/384376 	 [%] = 38.770111
**** File name: ./output/500MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	25682/384376 	 [%] = 6.681479
Xor file present: 	149023/384376 	 [%] = 38.770111
**** File name: ./output/500MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	27738/384376 	 [%] = 7.216371
Xor file present: 	153234/384376 	 [%] = 39.865652
**** File name: ./output/500MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	28161/384376 	 [%] = 7.326420
Xor file present: 	153234/384376 	 [%] = 39.865652
**** File name: ./output/500MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	24168/384376 	 [%] = 6.287593
Xor file present: 	151971/384376 	 [%] = 39.537068
**** File name: ./output/500MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	24477/384376 	 [%] = 6.367983
Xor file present: 	151971/384376 	 [%] = 39.537068
**** File name: ./output/500MB-spr2-no7.bin_clear_data.in ****
Clear file present: 	25823/384376 	 [%] = 6.718161
Xor file present: 	144290/384376 	 [%] = 37.538764
**** File name: ./output/500MB-spr2-no7.bin_clear_data.in ****
Clear file present: 	26125/384376 	 [%] = 6.796730
Xor file present: 	144290/384376 	 [%] = 37.538764
**** File name: ./output/500MB-spr2-no8.bin_clear_data.in ****
Clear file present: 	29699/384376 	 [%] = 7.726549
Xor file present: 	209202/384376 	 [%] = 54.426395
**** File name: ./output/500MB-spr2-no8.bin_clear_data.in ****
Clear file present: 	30659/384376 	 [%] = 7.976304
Xor file present: 	209202/384376 	 [%] = 54.426395
**** File name: ./output/500MB-spr2-no9.bin_clear_data.in ****
Clear file present: 	47203/384376 	 [%] = 12.280423
Xor file present: 	282525/384376 	 [%] = 73.502248
**** File name: ./output/500MB-spr2-no9.bin_clear_data.in ****
Clear file present: 	56105/384376 	 [%] = 14.596385
Xor file present: 	282525/384376 	 [%] = 73.502248
**** File name: ./output/500MB-spr2-no10.bin_clear_data.in ****
Clear file present: 	146046/384376 	 [%] = 37.995608
Xor file present: 	314264/384376 	 [%] = 81.759527
**** File name: ./output/500MB-spr2-no10.bin_clear_data.in ****
Clear file present: 	292640/384376 	 [%] = 76.133786
Xor file present: 	314264/384376 	 [%] = 81.759527
**** File name: ./output/500MB-spr2-no11.bin_clear_data.in ****
Clear file present: 	246480/384376 	 [%] = 64.124711
Xor file present: 	324347/384376 	 [%] = 84.382740
**** File name: ./output/500MB-spr2-no11.bin_clear_data.in ****
Clear file present: 	377005/384376 	 [%] = 98.082346
Xor file present: 	324347/384376 	 [%] = 84.382740
**** File name: ./output/500MB-spr2-no12.bin_clear_data.in ****
Clear file present: 	314152/384376 	 [%] = 81.730389
Xor file present: 	328789/384376 	 [%] = 85.538379
**** File name: ./output/500MB-spr2-no12.bin_clear_data.in ****
Clear file present: 	383519/384376 	 [%] = 99.777041
Xor file present: 	328789/384376 	 [%] = 85.538379
**** File name: ./output/500MB-spr2-no13.bin_clear_data.in ****
Clear file present: 	310675/384376 	 [%] = 80.825806
Xor file present: 	332455/384376 	 [%] = 86.492133
**** File name: ./output/500MB-spr2-no13.bin_clear_data.in ****
Clear file present: 	383589/384376 	 [%] = 99.795253
Xor file present: 	332455/384376 	 [%] = 86.492133
**** File name: ./output/500MB-spr2-no14.bin_clear_data.in ****
Clear file present: 	313959/384376 	 [%] = 81.680178
Xor file present: 	329750/384376 	 [%] = 85.788395
**** File name: ./output/500MB-spr2-no14.bin_clear_data.in ****
Clear file present: 	383567/384376 	 [%] = 99.789529
Xor file present: 	329750/384376 	 [%] = 85.788395
**** File name: ./output/500MB-spr2-no15.bin_clear_data.in ****
Clear file present: 	315619/384376 	 [%] = 82.112047
Xor file present: 	332757/384376 	 [%] = 86.570702
**** File name: ./output/500MB-spr2-no15.bin_clear_data.in ****
Clear file present: 	383626/384376 	 [%] = 99.804879
Xor file present: 	332757/384376 	 [%] = 86.570702
**** File name: ./output/500MB-spr2-no16.bin_clear_data.in ****
Clear file present: 	314733/384376 	 [%] = 81.881543
Xor file present: 	330908/384376 	 [%] = 86.089662
**** File name: ./output/500MB-spr2-no16.bin_clear_data.in ****
Clear file present: 	383557/384376 	 [%] = 99.786927
Xor file present: 	330908/384376 	 [%] = 86.089662
**** File name: ./output/500MB-spr2-no17.bin_clear_data.in ****
Clear file present: 	315513/384376 	 [%] = 82.084469
Xor file present: 	332211/384376 	 [%] = 86.428653
**** File name: ./output/500MB-spr2-no17.bin_clear_data.in ****
Clear file present: 	383718/384376 	 [%] = 99.828813
Xor file present: 	332211/384376 	 [%] = 86.428653
**** File name: ./output/500MB-spr2-no18.bin_clear_data.in ****
Clear file present: 	314006/384376 	 [%] = 81.692405
Xor file present: 	327433/384376 	 [%] = 85.185600
**** File name: ./output/500MB-spr2-no18.bin_clear_data.in ****
Clear file present: 	383462/384376 	 [%] = 99.762212
Xor file present: 	327433/384376 	 [%] = 85.185600
**** File name: ./output/500MB-spr2-no19.bin_clear_data.in ****
Clear file present: 	314202/384376 	 [%] = 81.743397
Xor file present: 	331947/384376 	 [%] = 86.359970
**** File name: ./output/500MB-spr2-no19.bin_clear_data.in ****
Clear file present: 	383579/384376 	 [%] = 99.792651
Xor file present: 	331947/384376 	 [%] = 86.359970
**** File name: ./output/500MB-spr2-no20.bin_clear_data.in ****
Clear file present: 	311825/384376 	 [%] = 81.124992
Xor file present: 	328240/384376 	 [%] = 85.395550
**** File name: ./output/500MB-spr2-no20.bin_clear_data.in ****
Clear file present: 	383366/384376 	 [%] = 99.737236
Xor file present: 	328240/384376 	 [%] = 85.395550
**** File name: ./output/500MB-spr2-no21.bin_clear_data.in ****
Clear file present: 	315776/384376 	 [%] = 82.152892
Xor file present: 	332507/384376 	 [%] = 86.505661
**** File name: ./output/500MB-spr2-no21.bin_clear_data.in ****
Clear file present: 	383657/384376 	 [%] = 99.812944
Xor file present: 	332507/384376 	 [%] = 86.505661
**** File name: ./output/500MB-spr2-no22.bin_clear_data.in ****
Clear file present: 	305623/384376 	 [%] = 79.511468
Xor file present: 	327831/384376 	 [%] = 85.289144
**** File name: ./output/500MB-spr2-no22.bin_clear_data.in ****
Clear file present: 	383197/384376 	 [%] = 99.693269
Xor file present: 	327831/384376 	 [%] = 85.289144
**** File name: ./output/500MB-spr2-no23.bin_clear_data.in ****
Clear file present: 	316113/384376 	 [%] = 82.240567
