**** File name: ./output/100MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	43519/76876 	 [%] = 56.609345
Xor file present: 	48505/76876 	 [%] = 63.095114
**** File name: ./output/100MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	65337/76876 	 [%] = 84.990114
Xor file present: 	48505/76876 	 [%] = 63.095114
**** File name: ./output/100MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	43544/76876 	 [%] = 56.641865
Xor file present: 	48781/76876 	 [%] = 63.454134
**** File name: ./output/100MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	65312/76876 	 [%] = 84.957594
Xor file present: 	48781/76876 	 [%] = 63.454134
**** File name: ./output/100MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	43481/76876 	 [%] = 56.559915
Xor file present: 	48596/76876 	 [%] = 63.213487
**** File name: ./output/100MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	65534/76876 	 [%] = 85.246371
Xor file present: 	48596/76876 	 [%] = 63.213487
**** File name: ./output/100MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	43814/76876 	 [%] = 56.993080
Xor file present: 	48669/76876 	 [%] = 63.308445
**** File name: ./output/100MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	65772/76876 	 [%] = 85.555960
Xor file present: 	48669/76876 	 [%] = 63.308445
**** File name: ./output/100MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	43749/76876 	 [%] = 56.908528
Xor file present: 	48440/76876 	 [%] = 63.010562
**** File name: ./output/100MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	65615/76876 	 [%] = 85.351735
Xor file present: 	48440/76876 	 [%] = 63.010562
**** File name: ./output/100MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	43784/76876 	 [%] = 56.954056
Xor file present: 	48539/76876 	 [%] = 63.139341
**** File name: ./output/100MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	65981/76876 	 [%] = 85.827827
Xor file present: 	48539/76876 	 [%] = 63.139341
**** File name: ./output/100MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	43600/76876 	 [%] = 56.714709
Xor file present: 	48695/76876 	 [%] = 63.342265
**** File name: ./output/100MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	65687/76876 	 [%] = 85.445393
Xor file present: 	48695/76876 	 [%] = 63.342265
**** File name: ./output/100MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	42032/76876 	 [%] = 54.675061
Xor file present: 	48703/76876 	 [%] = 63.352672
**** File name: ./output/100MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	64219/76876 	 [%] = 83.535824
Xor file present: 	48703/76876 	 [%] = 63.352672
**** File name: ./output/100MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	41577/76876 	 [%] = 54.083199
Xor file present: 	48537/76876 	 [%] = 63.136740
**** File name: ./output/100MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	63631/76876 	 [%] = 82.770956
Xor file present: 	48537/76876 	 [%] = 63.136740
**** File name: ./output/100MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	43703/76876 	 [%] = 56.848691
Xor file present: 	48541/76876 	 [%] = 63.141943
**** File name: ./output/100MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	65479/76876 	 [%] = 85.174827
Xor file present: 	48541/76876 	 [%] = 63.141943
**** File name: ./output/100MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	43557/76876 	 [%] = 56.658775
Xor file present: 	48645/76876 	 [%] = 63.277226
**** File name: ./output/100MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	65598/76876 	 [%] = 85.329622
Xor file present: 	48645/76876 	 [%] = 63.277226
**** File name: ./output/100MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	43343/76876 	 [%] = 56.380405
Xor file present: 	48616/76876 	 [%] = 63.239503
**** File name: ./output/100MB-spr1-no12.bin_clear_data.in ****
