**** File name: ./output/50MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	21869/38438 	 [%] = 56.894219
Xor file present: 	24294/38438 	 [%] = 63.203080
**** File name: ./output/50MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	33032/38438 	 [%] = 85.935793
Xor file present: 	24294/38438 	 [%] = 63.203080
**** File name: ./output/50MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	21838/38438 	 [%] = 56.813570
Xor file present: 	24192/38438 	 [%] = 62.937718
**** File name: ./output/50MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	32713/38438 	 [%] = 85.105885
Xor file present: 	24192/38438 	 [%] = 62.937718
**** File name: ./output/50MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	21099/38438 	 [%] = 54.890993
Xor file present: 	24187/38438 	 [%] = 62.924710
**** File name: ./output/50MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	31905/38438 	 [%] = 83.003798
Xor file present: 	24187/38438 	 [%] = 62.924710
**** File name: ./output/50MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	21081/38438 	 [%] = 54.844165
Xor file present: 	24244/38438 	 [%] = 63.073001
**** File name: ./output/50MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	31999/38438 	 [%] = 83.248348
Xor file present: 	24244/38438 	 [%] = 63.073001
**** File name: ./output/50MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	21908/38438 	 [%] = 56.995681
Xor file present: 	24335/38438 	 [%] = 63.309746
**** File name: ./output/50MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	32803/38438 	 [%] = 85.340028
Xor file present: 	24335/38438 	 [%] = 63.309746
**** File name: ./output/50MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	22060/38438 	 [%] = 57.391123
Xor file present: 	24427/38438 	 [%] = 63.549092
**** File name: ./output/50MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	33131/38438 	 [%] = 86.193350
Xor file present: 	24427/38438 	 [%] = 63.549092
**** File name: ./output/50MB-spr1-no7.bin_clear_data.in ****
