**** File name: ./output/1MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	445/769 	 [%] = 57.867360
Xor file present: 	455/769 	 [%] = 59.167750
**** File name: ./output/1MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	670/769 	 [%] = 87.126138
Xor file present: 	455/769 	 [%] = 59.167750
**** File name: ./output/1MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	485/769 	 [%] = 63.068921
Xor file present: 	485/769 	 [%] = 63.068921
**** File name: ./output/1MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	705/769 	 [%] = 91.677503
Xor file present: 	485/769 	 [%] = 63.068921
**** File name: ./output/1MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	474/769 	 [%] = 61.638492
Xor file present: 	497/769 	 [%] = 64.629389
**** File name: ./output/1MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	677/769 	 [%] = 88.036411
Xor file present: 	497/769 	 [%] = 64.629389
**** File name: ./output/1MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	465/769 	 [%] = 60.468140
Xor file present: 	505/769 	 [%] = 65.669701
**** File name: ./output/1MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	681/769 	 [%] = 88.556567
Xor file present: 	505/769 	 [%] = 65.669701
**** File name: ./output/1MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	423/769 	 [%] = 55.006502
Xor file present: 	472/769 	 [%] = 61.378414
**** File name: ./output/1MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	627/769 	 [%] = 81.534460
Xor file present: 	472/769 	 [%] = 61.378414
**** File name: ./output/1MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	483/769 	 [%] = 62.808843
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	674/769 	 [%] = 87.646294
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	473/769 	 [%] = 61.508453
Xor file present: 	502/769 	 [%] = 65.279584
**** File name: ./output/1MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	685/769 	 [%] = 89.076723
Xor file present: 	502/769 	 [%] = 65.279584
**** File name: ./output/1MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	460/769 	 [%] = 59.817945
Xor file present: 	479/769 	 [%] = 62.288687
**** File name: ./output/1MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	665/769 	 [%] = 86.475943
Xor file present: 	479/769 	 [%] = 62.288687
**** File name: ./output/1MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	456/769 	 [%] = 59.297789
Xor file present: 	489/769 	 [%] = 63.589077
**** File name: ./output/1MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	679/769 	 [%] = 88.296489
Xor file present: 	489/769 	 [%] = 63.589077
**** File name: ./output/1MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	333/769 	 [%] = 43.302991
Xor file present: 	366/769 	 [%] = 47.594278
**** File name: ./output/1MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	451/769 	 [%] = 58.647594
Xor file present: 	366/769 	 [%] = 47.594278
**** File name: ./output/1MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	376/769 	 [%] = 48.894668
Xor file present: 	406/769 	 [%] = 52.795839
**** File name: ./output/1MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	545/769 	 [%] = 70.871261
Xor file present: 	406/769 	 [%] = 52.795839
**** File name: ./output/1MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	471/769 	 [%] = 61.248375
Xor file present: 	491/769 	 [%] = 63.849155
**** File name: ./output/1MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	693/769 	 [%] = 90.117035
Xor file present: 	491/769 	 [%] = 63.849155
**** File name: ./output/1MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	315/769 	 [%] = 40.962289
Xor file present: 	216/769 	 [%] = 28.088427
**** File name: ./output/1MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	351/769 	 [%] = 45.643693
Xor file present: 	216/769 	 [%] = 28.088427
**** File name: ./output/1MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	367/769 	 [%] = 47.724317
Xor file present: 	408/769 	 [%] = 53.055917
**** File name: ./output/1MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	538/769 	 [%] = 69.960988
Xor file present: 	408/769 	 [%] = 53.055917
**** File name: ./output/1MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	491/769 	 [%] = 63.849155
Xor file present: 	488/769 	 [%] = 63.459038
**** File name: ./output/1MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	703/769 	 [%] = 91.417425
Xor file present: 	488/769 	 [%] = 63.459038
**** File name: ./output/1MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	377/769 	 [%] = 49.024707
Xor file present: 	390/769 	 [%] = 50.715215
**** File name: ./output/1MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	506/769 	 [%] = 65.799740
Xor file present: 	390/769 	 [%] = 50.715215
**** File name: ./output/1MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	454/769 	 [%] = 59.037711
Xor file present: 	483/769 	 [%] = 62.808843
**** File name: ./output/1MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	669/769 	 [%] = 86.996099
Xor file present: 	483/769 	 [%] = 62.808843
**** File name: ./output/1MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	337/769 	 [%] = 43.823147
Xor file present: 	352/769 	 [%] = 45.773732
**** File name: ./output/1MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	465/769 	 [%] = 60.468140
Xor file present: 	352/769 	 [%] = 45.773732
**** File name: ./output/1MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	350/769 	 [%] = 45.513654
Xor file present: 	368/769 	 [%] = 47.854356
**** File name: ./output/1MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	492/769 	 [%] = 63.979194
Xor file present: 	368/769 	 [%] = 47.854356
**** File name: ./output/1MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	455/769 	 [%] = 59.167750
Xor file present: 	490/769 	 [%] = 63.719116
**** File name: ./output/1MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	687/769 	 [%] = 89.336801
Xor file present: 	490/769 	 [%] = 63.719116
**** File name: ./output/1MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	482/769 	 [%] = 62.678804
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	709/769 	 [%] = 92.197659
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	483/769 	 [%] = 62.808843
Xor file present: 	478/769 	 [%] = 62.158648
**** File name: ./output/1MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	696/769 	 [%] = 90.507152
Xor file present: 	478/769 	 [%] = 62.158648
**** File name: ./output/1MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	479/769 	 [%] = 62.288687
Xor file present: 	492/769 	 [%] = 63.979194
**** File name: ./output/1MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	690/769 	 [%] = 89.726918
Xor file present: 	492/769 	 [%] = 63.979194
**** File name: ./output/1MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	487/769 	 [%] = 63.328999
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	693/769 	 [%] = 90.117035
Xor file present: 	486/769 	 [%] = 63.198960
**** File name: ./output/1MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	365/769 	 [%] = 47.464239
Xor file present: 	384/769 	 [%] = 49.934980
**** File name: ./output/1MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	479/769 	 [%] = 62.288687
Xor file present: 	384/769 	 [%] = 49.934980
**** File name: ./output/1MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	373/769 	 [%] = 48.504551
Xor file present: 	416/769 	 [%] = 54.096229
**** File name: ./output/1MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	554/769 	 [%] = 72.041612
Xor file present: 	416/769 	 [%] = 54.096229
**** File name: ./output/1MB-spr1-no27.bin_clear_data.in ****
Clear file present: 	455/769 	 [%] = 59.167750
Xor file present: 	465/769 	 [%] = 60.468140
**** File name: ./output/1MB-spr1-no27.bin_clear_data.in ****
Clear file present: 	658/769 	 [%] = 85.565670
Xor file present: 	465/769 	 [%] = 60.468140
**** File name: ./output/1MB-spr1-no28.bin_clear_data.in ****
Clear file present: 	489/769 	 [%] = 63.589077
Xor file present: 	487/769 	 [%] = 63.328999
**** File name: ./output/1MB-spr1-no28.bin_clear_data.in ****
Clear file present: 	710/769 	 [%] = 92.327698
Xor file present: 	487/769 	 [%] = 63.328999
**** File name: ./output/1MB-spr1-no29.bin_clear_data.in ****
Clear file present: 	378/769 	 [%] = 49.154746
Xor file present: 	395/769 	 [%] = 51.365410
**** File name: ./output/1MB-spr1-no29.bin_clear_data.in ****
Clear file present: 	520/769 	 [%] = 67.620286
Xor file present: 	395/769 	 [%] = 51.365410
**** File name: ./output/1MB-spr1-no30.bin_clear_data.in ****
Clear file present: 	371/769 	 [%] = 48.244473
Xor file present: 	380/769 	 [%] = 49.414824
**** File name: ./output/1MB-spr1-no30.bin_clear_data.in ****
Clear file present: 	502/769 	 [%] = 65.279584
Xor file present: 	380/769 	 [%] = 49.414824
**** File name: ./output/1MB-spr1-no31.bin_clear_data.in ****
