**** File name: ./output/75MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	32485/57657 	 [%] = 56.341815
Xor file present: 	36493/57657 	 [%] = 63.293269
**** File name: ./output/75MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	48876/57657 	 [%] = 84.770279
Xor file present: 	36493/57657 	 [%] = 63.293269
**** File name: ./output/75MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	32702/57657 	 [%] = 56.718178
Xor file present: 	36490/57657 	 [%] = 63.288066
**** File name: ./output/75MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	49200/57657 	 [%] = 85.332223
Xor file present: 	36490/57657 	 [%] = 63.288066
**** File name: ./output/75MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	32603/57657 	 [%] = 56.546473
Xor file present: 	36447/57657 	 [%] = 63.213487
**** File name: ./output/75MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	49023/57657 	 [%] = 85.025235
Xor file present: 	36447/57657 	 [%] = 63.213487
**** File name: ./output/75MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	32670/57657 	 [%] = 56.662678
Xor file present: 	36477/57657 	 [%] = 63.265518
**** File name: ./output/75MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	49388/57657 	 [%] = 85.658290
Xor file present: 	36477/57657 	 [%] = 63.265518
**** File name: ./output/75MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	32773/57657 	 [%] = 56.841320
Xor file present: 	36490/57657 	 [%] = 63.288066
**** File name: ./output/75MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	49216/57657 	 [%] = 85.359974
Xor file present: 	36490/57657 	 [%] = 63.288066
**** File name: ./output/75MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	32699/57657 	 [%] = 56.712975
Xor file present: 	36260/57657 	 [%] = 62.889155
**** File name: ./output/75MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	48981/57657 	 [%] = 84.952391
Xor file present: 	36260/57657 	 [%] = 62.889155
**** File name: ./output/75MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	32530/57657 	 [%] = 56.419862
Xor file present: 	36377/57657 	 [%] = 63.092079
**** File name: ./output/75MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	48882/57657 	 [%] = 84.780686
Xor file present: 	36377/57657 	 [%] = 63.092079
**** File name: ./output/75MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	32532/57657 	 [%] = 56.423331
Xor file present: 	36487/57657 	 [%] = 63.282862
**** File name: ./output/75MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	49002/57657 	 [%] = 84.988813
Xor file present: 	36487/57657 	 [%] = 63.282862
**** File name: ./output/75MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	31045/57657 	 [%] = 53.844286
Xor file present: 	36320/57657 	 [%] = 62.993219
**** File name: ./output/75MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	47380/57657 	 [%] = 82.175625
Xor file present: 	36320/57657 	 [%] = 62.993219
**** File name: ./output/75MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	32541/57657 	 [%] = 56.438941
Xor file present: 	36521/57657 	 [%] = 63.341832
**** File name: ./output/75MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	48836/57657 	 [%] = 84.700904
Xor file present: 	36521/57657 	 [%] = 63.341832
**** File name: ./output/75MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	30844/57657 	 [%] = 53.495673
Xor file present: 	36204/57657 	 [%] = 62.792029
**** File name: ./output/75MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	47097/57657 	 [%] = 81.684791
Xor file present: 	36204/57657 	 [%] = 62.792029
**** File name: ./output/75MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	32773/57657 	 [%] = 56.841320
Xor file present: 	36717/57657 	 [%] = 63.681773
**** File name: ./output/75MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	49339/57657 	 [%] = 85.573304
Xor file present: 	36717/57657 	 [%] = 63.681773
**** File name: ./output/75MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	32807/57657 	 [%] = 56.900290
Xor file present: 	36375/57657 	 [%] = 63.088610
**** File name: ./output/75MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	49265/57657 	 [%] = 85.444959
Xor file present: 	36375/57657 	 [%] = 63.088610
**** File name: ./output/75MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	32819/57657 	 [%] = 56.921102
Xor file present: 	36395/57657 	 [%] = 63.123298
**** File name: ./output/75MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	49323/57657 	 [%] = 85.545554
Xor file present: 	36395/57657 	 [%] = 63.123298
**** File name: ./output/75MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	32380/57657 	 [%] = 56.159703
Xor file present: 	36404/57657 	 [%] = 63.138908
**** File name: ./output/75MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	48972/57657 	 [%] = 84.936781
Xor file present: 	36404/57657 	 [%] = 63.138908
**** File name: ./output/75MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	32581/57657 	 [%] = 56.508316
Xor file present: 	36383/57657 	 [%] = 63.102485
**** File name: ./output/75MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	49207/57657 	 [%] = 85.344364
Xor file present: 	36383/57657 	 [%] = 63.102485
**** File name: ./output/75MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	30600/57657 	 [%] = 53.072480
Xor file present: 	36264/57657 	 [%] = 62.896092
**** File name: ./output/75MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	46999/57657 	 [%] = 81.514820
Xor file present: 	36264/57657 	 [%] = 62.896092
**** File name: ./output/75MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	32489/57657 	 [%] = 56.348752
Xor file present: 	36346/57657 	 [%] = 63.038313
**** File name: ./output/75MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	49056/57657 	 [%] = 85.082470
Xor file present: 	36346/57657 	 [%] = 63.038313
**** File name: ./output/75MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	29254/57657 	 [%] = 50.737985
Xor file present: 	36378/57657 	 [%] = 63.093813
**** File name: ./output/75MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	45490/57657 	 [%] = 78.897619
Xor file present: 	36378/57657 	 [%] = 63.093813
**** File name: ./output/75MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	30788/57657 	 [%] = 53.398547
Xor file present: 	35944/57657 	 [%] = 62.341086
**** File name: ./output/75MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	46591/57657 	 [%] = 80.807187
Xor file present: 	35944/57657 	 [%] = 62.341086
**** File name: ./output/75MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	32264/57657 	 [%] = 55.958513
Xor file present: 	36480/57657 	 [%] = 63.270722
**** File name: ./output/75MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	48717/57657 	 [%] = 84.494511
Xor file present: 	36480/57657 	 [%] = 63.270722
**** File name: ./output/75MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	30682/57657 	 [%] = 53.214701
Xor file present: 	36460/57657 	 [%] = 63.236034
**** File name: ./output/75MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	46960/57657 	 [%] = 81.447179
Xor file present: 	36460/57657 	 [%] = 63.236034
**** File name: ./output/75MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	31239/57657 	 [%] = 54.180759
Xor file present: 	35839/57657 	 [%] = 62.158975
**** File name: ./output/75MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	47647/57657 	 [%] = 82.638708
Xor file present: 	35839/57657 	 [%] = 62.158975
**** File name: ./output/75MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	32360/57657 	 [%] = 56.125015
Xor file present: 	36468/57657 	 [%] = 63.249909
**** File name: ./output/75MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	48925/57657 	 [%] = 84.855265
Xor file present: 	36468/57657 	 [%] = 63.249909
**** File name: ./output/75MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	32667/57657 	 [%] = 56.657474
Xor file present: 	36438/57657 	 [%] = 63.197877
