**** File name: ./output/25MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	10728/19219 	 [%] = 55.819762
Xor file present: 	12198/19219 	 [%] = 63.468443
**** File name: ./output/25MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	16434/19219 	 [%] = 85.509132
Xor file present: 	12198/19219 	 [%] = 63.468443
**** File name: ./output/25MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	9780/19219 	 [%] = 50.887143
Xor file present: 	11626/19219 	 [%] = 60.492221
**** File name: ./output/25MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	14810/19219 	 [%] = 77.059160
Xor file present: 	11626/19219 	 [%] = 60.492221
**** File name: ./output/25MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	10404/19219 	 [%] = 54.133930
Xor file present: 	12068/19219 	 [%] = 62.792029
**** File name: ./output/25MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	15872/19219 	 [%] = 82.584942
Xor file present: 	12068/19219 	 [%] = 62.792029
**** File name: ./output/25MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	10474/19219 	 [%] = 54.498153
Xor file present: 	12139/19219 	 [%] = 63.161455
**** File name: ./output/25MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	16119/19219 	 [%] = 83.870129
Xor file present: 	12139/19219 	 [%] = 63.161455
**** File name: ./output/25MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	10215/19219 	 [%] = 53.150528
Xor file present: 	12095/19219 	 [%] = 62.932515
**** File name: ./output/25MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	15598/19219 	 [%] = 81.159269
Xor file present: 	12095/19219 	 [%] = 62.932515
**** File name: ./output/25MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	9525/19219 	 [%] = 49.560331
Xor file present: 	11491/19219 	 [%] = 59.789791
**** File name: ./output/25MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	14577/19219 	 [%] = 75.846818
Xor file present: 	11491/19219 	 [%] = 59.789791
**** File name: ./output/25MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	9544/19219 	 [%] = 49.659191
Xor file present: 	11523/19219 	 [%] = 59.956293
**** File name: ./output/25MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	14444/19219 	 [%] = 75.154795
Xor file present: 	11523/19219 	 [%] = 59.956293
**** File name: ./output/25MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	9631/19219 	 [%] = 50.111868
Xor file present: 	11549/19219 	 [%] = 60.091576
**** File name: ./output/25MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	14572/19219 	 [%] = 75.820802
Xor file present: 	11549/19219 	 [%] = 60.091576
**** File name: ./output/25MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	9084/19219 	 [%] = 47.265727
Xor file present: 	11424/19219 	 [%] = 59.441178
**** File name: ./output/25MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	13767/19219 	 [%] = 71.632239
Xor file present: 	11424/19219 	 [%] = 59.441178
**** File name: ./output/25MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	9627/19219 	 [%] = 50.091056
Xor file present: 	11547/19219 	 [%] = 60.081170
**** File name: ./output/25MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	14481/19219 	 [%] = 75.347313
Xor file present: 	11547/19219 	 [%] = 60.081170
**** File name: ./output/25MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	10279/19219 	 [%] = 53.483532
Xor file present: 	12097/19219 	 [%] = 62.942921
**** File name: ./output/25MB-spr1-no11.bin_clear_data.in ****
