**** File name: ./output/750MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	299008/576564 	 [%] = 51.860331
Xor file present: 	364503/576564 	 [%] = 63.219868
**** File name: ./output/750MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	462175/576564 	 [%] = 80.160225
Xor file present: 	364503/576564 	 [%] = 63.219868
**** File name: ./output/750MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	299886/576564 	 [%] = 52.012613
Xor file present: 	363949/576564 	 [%] = 63.123782
**** File name: ./output/750MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	462115/576564 	 [%] = 80.149819
Xor file present: 	363949/576564 	 [%] = 63.123782
**** File name: ./output/750MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	294999/576564 	 [%] = 51.165005
Xor file present: 	364294/576564 	 [%] = 63.183619
**** File name: ./output/750MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	456276/576564 	 [%] = 79.137095
Xor file present: 	364294/576564 	 [%] = 63.183619
**** File name: ./output/750MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	291784/576564 	 [%] = 50.607391
Xor file present: 	364316/576564 	 [%] = 63.187435
**** File name: ./output/750MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	452475/576564 	 [%] = 78.477845
Xor file present: 	364316/576564 	 [%] = 63.187435
**** File name: ./output/750MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	288132/576564 	 [%] = 49.973984
Xor file present: 	364415/576564 	 [%] = 63.204605
**** File name: ./output/750MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	447964/576564 	 [%] = 77.695451
Xor file present: 	364415/576564 	 [%] = 63.204605
**** File name: ./output/750MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	227384/576564 	 [%] = 39.437773
Xor file present: 	347132/576564 	 [%] = 60.207020
**** File name: ./output/750MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	341876/576564 	 [%] = 59.295412
Xor file present: 	347132/576564 	 [%] = 60.207020
**** File name: ./output/750MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	308925/576564 	 [%] = 53.580348
Xor file present: 	488197/576564 	 [%] = 84.673514
**** File name: ./output/750MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	547100/576564 	 [%] = 94.889726
Xor file present: 	488197/576564 	 [%] = 84.673514
**** File name: ./output/750MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	445747/576564 	 [%] = 77.310932
Xor file present: 	497422/576564 	 [%] = 86.273510
**** File name: ./output/750MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	574583/576564 	 [%] = 99.656413
Xor file present: 	497422/576564 	 [%] = 86.273510
**** File name: ./output/750MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	462462/576564 	 [%] = 80.210003
Xor file present: 	493162/576564 	 [%] = 85.534650
**** File name: ./output/750MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	574980/576564 	 [%] = 99.725269
Xor file present: 	493162/576564 	 [%] = 85.534650
**** File name: ./output/750MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	469868/576564 	 [%] = 81.494509
Xor file present: 	491844/576564 	 [%] = 85.306054
**** File name: ./output/750MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	575237/576564 	 [%] = 99.769843
Xor file present: 	491844/576564 	 [%] = 85.306054
**** File name: ./output/750MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	459555/576564 	 [%] = 79.705809
Xor file present: 	493343/576564 	 [%] = 85.566043
**** File name: ./output/750MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	574862/576564 	 [%] = 99.704803
Xor file present: 	493343/576564 	 [%] = 85.566043
**** File name: ./output/750MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	463157/576564 	 [%] = 80.330544
Xor file present: 	489600/576564 	 [%] = 84.916852
**** File name: ./output/750MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	574759/576564 	 [%] = 99.686938
Xor file present: 	489600/576564 	 [%] = 84.916852
**** File name: ./output/750MB-spr3-no1.bin_clear_data.in ****
Clear file present: 	530243/576564 	 [%] = 91.966026
Xor file present: 	542090/576564 	 [%] = 94.020785
**** File name: ./output/750MB-spr3-no1.bin_clear_data.in ****
Clear file present: 	576532/576564 	 [%] = 99.994450
Xor file present: 	542090/576564 	 [%] = 94.020785
**** File name: ./output/750MB-spr3-no2.bin_clear_data.in ****
Clear file present: 	529720/576564 	 [%] = 91.875317
Xor file present: 	542043/576564 	 [%] = 94.012633
**** File name: ./output/750MB-spr3-no2.bin_clear_data.in ****
Clear file present: 	576534/576564 	 [%] = 99.994797
Xor file present: 	542043/576564 	 [%] = 94.012633
**** File name: ./output/750MB-spr3-no3.bin_clear_data.in ****
Clear file present: 	523044/576564 	 [%] = 90.717423
Xor file present: 	542674/576564 	 [%] = 94.122075
**** File name: ./output/750MB-spr3-no3.bin_clear_data.in ****
Clear file present: 	576501/576564 	 [%] = 99.989073
Xor file present: 	542674/576564 	 [%] = 94.122075
**** File name: ./output/750MB-spr3-no4.bin_clear_data.in ****
Clear file present: 	531358/576564 	 [%] = 92.159413
Xor file present: 	542056/576564 	 [%] = 94.014888
**** File name: ./output/750MB-spr3-no4.bin_clear_data.in ****
Clear file present: 	576540/576564 	 [%] = 99.995837
Xor file present: 	542056/576564 	 [%] = 94.014888
**** File name: ./output/750MB-spr3-no5.bin_clear_data.in ****
Clear file present: 	523125/576564 	 [%] = 90.731471
Xor file present: 	542113/576564 	 [%] = 94.024774
**** File name: ./output/750MB-spr3-no5.bin_clear_data.in ****
Clear file present: 	576529/576564 	 [%] = 99.993930
Xor file present: 	542113/576564 	 [%] = 94.024774
**** File name: ./output/750MB-spr3-no6.bin_clear_data.in ****
Clear file present: 	527055/576564 	 [%] = 91.413096
Xor file present: 	543661/576564 	 [%] = 94.293261
**** File name: ./output/750MB-spr3-no6.bin_clear_data.in ****
Clear file present: 	576525/576564 	 [%] = 99.993236
Xor file present: 	543661/576564 	 [%] = 94.293261
**** File name: ./output/750MB-spr4-no1.bin_clear_data.in ****
Clear file present: 	558863/576564 	 [%] = 96.929916
Xor file present: 	563867/576564 	 [%] = 97.797816
**** File name: ./output/750MB-spr4-no1.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	563867/576564 	 [%] = 97.797816
**** File name: ./output/750MB-spr4-no2.bin_clear_data.in ****
Clear file present: 	560958/576564 	 [%] = 97.293275
Xor file present: 	565047/576564 	 [%] = 98.002477
**** File name: ./output/750MB-spr4-no2.bin_clear_data.in ****
Clear file present: 	576562/576564 	 [%] = 99.999653
Xor file present: 	565047/576564 	 [%] = 98.002477
**** File name: ./output/750MB-spr4-no3.bin_clear_data.in ****
Clear file present: 	561089/576564 	 [%] = 97.315996
Xor file present: 	564952/576564 	 [%] = 97.986000
**** File name: ./output/750MB-spr4-no3.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	564952/576564 	 [%] = 97.986000
**** File name: ./output/750MB-spr4-no4.bin_clear_data.in ****
Clear file present: 	561719/576564 	 [%] = 97.425264
Xor file present: 	564623/576564 	 [%] = 97.928938
**** File name: ./output/750MB-spr4-no4.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	564623/576564 	 [%] = 97.928938
**** File name: ./output/750MB-spr4-no5.bin_clear_data.in ****
Clear file present: 	561546/576564 	 [%] = 97.395259
Xor file present: 	564320/576564 	 [%] = 97.876385
**** File name: ./output/750MB-spr4-no5.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	564320/576564 	 [%] = 97.876385
**** File name: ./output/750MB-spr4-no6.bin_clear_data.in ****
Clear file present: 	560413/576564 	 [%] = 97.198750
Xor file present: 	565230/576564 	 [%] = 98.034216
**** File name: ./output/750MB-spr4-no6.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	565230/576564 	 [%] = 98.034216
**** File name: ./output/750MB-spr5-no1.bin_clear_data.in ****
Clear file present: 	570264/576564 	 [%] = 98.907320
Xor file present: 	572416/576564 	 [%] = 99.280566
**** File name: ./output/750MB-spr5-no1.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	572416/576564 	 [%] = 99.280566
**** File name: ./output/750MB-spr5-no2.bin_clear_data.in ****
Clear file present: 	571048/576564 	 [%] = 99.043298
Xor file present: 	572508/576564 	 [%] = 99.296522
**** File name: ./output/750MB-spr5-no2.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	572508/576564 	 [%] = 99.296522
**** File name: ./output/750MB-spr5-no3.bin_clear_data.in ****
Clear file present: 	570755/576564 	 [%] = 98.992480
Xor file present: 	572442/576564 	 [%] = 99.285075
**** File name: ./output/750MB-spr5-no3.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	572442/576564 	 [%] = 99.285075
**** File name: ./output/750MB-spr5-no4.bin_clear_data.in ****
Clear file present: 	570797/576564 	 [%] = 98.999764
Xor file present: 	572500/576564 	 [%] = 99.295135
**** File name: ./output/750MB-spr5-no4.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	572500/576564 	 [%] = 99.295135
**** File name: ./output/750MB-spr5-no5.bin_clear_data.in ****
Clear file present: 	569970/576564 	 [%] = 98.856328
Xor file present: 	572492/576564 	 [%] = 99.293747
**** File name: ./output/750MB-spr5-no5.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	572492/576564 	 [%] = 99.293747
**** File name: ./output/750MB-spr5-no6.bin_clear_data.in ****
Clear file present: 	570406/576564 	 [%] = 98.931949
Xor file present: 	572198/576564 	 [%] = 99.242755
**** File name: ./output/750MB-spr5-no6.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	572198/576564 	 [%] = 99.242755
**** File name: ./output/750MB-spr6-no1.bin_clear_data.in ****
Clear file present: 	574187/576564 	 [%] = 99.587730
Xor file present: 	575026/576564 	 [%] = 99.733247
**** File name: ./output/750MB-spr6-no1.bin_clear_data.in ****
Clear file present: 	576564/576564 	 [%] = 100.000000
Xor file present: 	575026/576564 	 [%] = 99.733247
**** File name: ./output/750MB-spr6-no2.bin_clear_data.in ****
Clear file present: 	574573/576564 	 [%] = 99.654678
Xor file present: 	574966/576564 	 [%] = 99.722841
