**** File name: ./output/1GB-spr1-no1.bin_clear_data.in ****
Clear file present: 	408001/787201 	 [%] = 51.829329
Xor file present: 	497522/787201 	 [%] = 63.201393
**** File name: ./output/1GB-spr1-no1.bin_clear_data.in ****
Clear file present: 	629750/787201 	 [%] = 79.998628
Xor file present: 	497522/787201 	 [%] = 63.201393
**** File name: ./output/1GB-spr1-no2.bin_clear_data.in ****
Clear file present: 	412442/787201 	 [%] = 52.393480
Xor file present: 	497487/787201 	 [%] = 63.196947
**** File name: ./output/1GB-spr1-no2.bin_clear_data.in ****
Clear file present: 	634571/787201 	 [%] = 80.611051
Xor file present: 	497487/787201 	 [%] = 63.196947
**** File name: ./output/1GB-spr1-no3.bin_clear_data.in ****
Clear file present: 	213669/787201 	 [%] = 27.142877
Xor file present: 	497036/787201 	 [%] = 63.139656
**** File name: ./output/1GB-spr1-no3.bin_clear_data.in ****
Clear file present: 	299972/787201 	 [%] = 38.106151
Xor file present: 	497036/787201 	 [%] = 63.139656
**** File name: ./output/1GB-spr1-no4.bin_clear_data.in ****
Clear file present: 	119458/787201 	 [%] = 15.175032
Xor file present: 	476944/787201 	 [%] = 60.587321
**** File name: ./output/1GB-spr1-no4.bin_clear_data.in ****
Clear file present: 	137985/787201 	 [%] = 17.528560
Xor file present: 	476944/787201 	 [%] = 60.587321
**** File name: ./output/1GB-spr1-no5.bin_clear_data.in ****
Clear file present: 	55470/787201 	 [%] = 7.046485
Xor file present: 	330467/787201 	 [%] = 41.980003
**** File name: ./output/1GB-spr1-no5.bin_clear_data.in ****
Clear file present: 	56396/787201 	 [%] = 7.164117
Xor file present: 	330467/787201 	 [%] = 41.980003
**** File name: ./output/1GB-spr1-no6.bin_clear_data.in ****
Clear file present: 	32014/787201 	 [%] = 4.066814
Xor file present: 	123355/787201 	 [%] = 15.670077
**** File name: ./output/1GB-spr1-no6.bin_clear_data.in ****
Clear file present: 	32044/787201 	 [%] = 4.070625
Xor file present: 	123355/787201 	 [%] = 15.670077
**** File name: ./output/1GB-spr2-no1.bin_clear_data.in ****
Clear file present: 	39613/787201 	 [%] = 5.032133
Xor file present: 	215761/787201 	 [%] = 27.408629
**** File name: ./output/1GB-spr2-no1.bin_clear_data.in ****
Clear file present: 	39781/787201 	 [%] = 5.053474
Xor file present: 	215761/787201 	 [%] = 27.408629
**** File name: ./output/1GB-spr2-no2.bin_clear_data.in ****
Clear file present: 	52365/787201 	 [%] = 6.652049
Xor file present: 	380971/787201 	 [%] = 48.395645
**** File name: ./output/1GB-spr2-no2.bin_clear_data.in ****
Clear file present: 	53440/787201 	 [%] = 6.788609
Xor file present: 	380971/787201 	 [%] = 48.395645
**** File name: ./output/1GB-spr2-no3.bin_clear_data.in ****
Clear file present: 	60017/787201 	 [%] = 7.624101
Xor file present: 	420655/787201 	 [%] = 53.436797
**** File name: ./output/1GB-spr2-no3.bin_clear_data.in ****
Clear file present: 	61863/787201 	 [%] = 7.858603
Xor file present: 	420655/787201 	 [%] = 53.436797
**** File name: ./output/1GB-spr2-no4.bin_clear_data.in ****
Clear file present: 	92743/787201 	 [%] = 11.781362
Xor file present: 	525497/787201 	 [%] = 66.755124
**** File name: ./output/1GB-spr2-no4.bin_clear_data.in ****
Clear file present: 	104523/787201 	 [%] = 13.277803
Xor file present: 	525497/787201 	 [%] = 66.755124
**** File name: ./output/1GB-spr2-no5.bin_clear_data.in ****
Clear file present: 	123869/787201 	 [%] = 15.735371
Xor file present: 	578649/787201 	 [%] = 73.507147
**** File name: ./output/1GB-spr2-no5.bin_clear_data.in ****
Clear file present: 	160422/787201 	 [%] = 20.378785
Xor file present: 	578649/787201 	 [%] = 73.507147
**** File name: ./output/1GB-spr2-no6.bin_clear_data.in ****
Clear file present: 	254686/787201 	 [%] = 32.353363
