**** File name: ./output/250MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	121365/192188 	 [%] = 63.149104
Xor file present: 	121497/192188 	 [%] = 63.217787
**** File name: ./output/250MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	174226/192188 	 [%] = 90.653943
Xor file present: 	121497/192188 	 [%] = 63.217787
**** File name: ./output/250MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	121389/192188 	 [%] = 63.161592
Xor file present: 	121560/192188 	 [%] = 63.250567
**** File name: ./output/250MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	174722/192188 	 [%] = 90.912024
Xor file present: 	121560/192188 	 [%] = 63.250567
**** File name: ./output/250MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	121411/192188 	 [%] = 63.173039
Xor file present: 	121633/192188 	 [%] = 63.288551
**** File name: ./output/250MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	174162/192188 	 [%] = 90.620642
Xor file present: 	121633/192188 	 [%] = 63.288551
**** File name: ./output/250MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	121221/192188 	 [%] = 63.074177
Xor file present: 	121305/192188 	 [%] = 63.117885
**** File name: ./output/250MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	174161/192188 	 [%] = 90.620122
Xor file present: 	121305/192188 	 [%] = 63.117885
**** File name: ./output/250MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	121695/192188 	 [%] = 63.320811
Xor file present: 	121479/192188 	 [%] = 63.208421
**** File name: ./output/250MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	174753/192188 	 [%] = 90.928154
Xor file present: 	121479/192188 	 [%] = 63.208421
**** File name: ./output/250MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	121391/192188 	 [%] = 63.162632
Xor file present: 	121384/192188 	 [%] = 63.158990
**** File name: ./output/250MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	174071/192188 	 [%] = 90.573293
Xor file present: 	121384/192188 	 [%] = 63.158990
**** File name: ./output/250MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	121543/192188 	 [%] = 63.241722
