**** File name: ./output/50MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	24242/38438 	 [%] = 63.067797
Xor file present: 	24294/38438 	 [%] = 63.203080
**** File name: ./output/50MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	34978/38438 	 [%] = 90.998491
Xor file present: 	24294/38438 	 [%] = 63.203080
**** File name: ./output/50MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	24166/38438 	 [%] = 62.870076
Xor file present: 	24192/38438 	 [%] = 62.937718
**** File name: ./output/50MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	34697/38438 	 [%] = 90.267444
Xor file present: 	24192/38438 	 [%] = 62.937718
**** File name: ./output/50MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	24278/38438 	 [%] = 63.161455
Xor file present: 	24263/38438 	 [%] = 63.122431
**** File name: ./output/50MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	34895/38438 	 [%] = 90.782559
Xor file present: 	24263/38438 	 [%] = 63.122431
**** File name: ./output/50MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	24167/38438 	 [%] = 62.872678
Xor file present: 	24304/38438 	 [%] = 63.229096
**** File name: ./output/50MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	34791/38438 	 [%] = 90.511993
Xor file present: 	24304/38438 	 [%] = 63.229096
**** File name: ./output/50MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	24113/38438 	 [%] = 62.732192
Xor file present: 	24335/38438 	 [%] = 63.309746
**** File name: ./output/50MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	34758/38438 	 [%] = 90.426141
Xor file present: 	24335/38438 	 [%] = 63.309746
**** File name: ./output/50MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	24240/38438 	 [%] = 63.062594
Xor file present: 	24427/38438 	 [%] = 63.549092
**** File name: ./output/50MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	34869/38438 	 [%] = 90.714918
Xor file present: 	24427/38438 	 [%] = 63.549092
**** File name: ./output/50MB-spr1-no7.bin_clear_data.in ****
