**** File name: ./output/500MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	242958/384376 	 [%] = 63.208421
Xor file present: 	243013/384376 	 [%] = 63.222730
**** File name: ./output/500MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	348917/384376 	 [%] = 90.774918
Xor file present: 	243013/384376 	 [%] = 63.222730
**** File name: ./output/500MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	242646/384376 	 [%] = 63.127250
Xor file present: 	242474/384376 	 [%] = 63.082503
**** File name: ./output/500MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	348525/384376 	 [%] = 90.672935
Xor file present: 	242474/384376 	 [%] = 63.082503
**** File name: ./output/500MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	242844/384376 	 [%] = 63.178762
Xor file present: 	242969/384376 	 [%] = 63.211283
**** File name: ./output/500MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	349324/384376 	 [%] = 90.880804
Xor file present: 	242969/384376 	 [%] = 63.211283
**** File name: ./output/500MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	242914/384376 	 [%] = 63.196974
Xor file present: 	242795/384376 	 [%] = 63.166015
**** File name: ./output/500MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	348231/384376 	 [%] = 90.596447
Xor file present: 	242795/384376 	 [%] = 63.166015
**** File name: ./output/500MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	242743/384376 	 [%] = 63.152486
Xor file present: 	242999/384376 	 [%] = 63.219088
**** File name: ./output/500MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	348883/384376 	 [%] = 90.766073
Xor file present: 	242999/384376 	 [%] = 63.219088
**** File name: ./output/500MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	243183/384376 	 [%] = 63.266957
Xor file present: 	243176/384376 	 [%] = 63.265136
**** File name: ./output/500MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	349117/384376 	 [%] = 90.826951
Xor file present: 	243176/384376 	 [%] = 63.265136
**** File name: ./output/500MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	242288/384376 	 [%] = 63.034112
Xor file present: 	242991/384376 	 [%] = 63.217006
**** File name: ./output/500MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	348522/384376 	 [%] = 90.672154
Xor file present: 	242991/384376 	 [%] = 63.217006
**** File name: ./output/500MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	242247/384376 	 [%] = 63.023446
Xor file present: 	243002/384376 	 [%] = 63.219868
**** File name: ./output/500MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	348521/384376 	 [%] = 90.671894
Xor file present: 	243002/384376 	 [%] = 63.219868
**** File name: ./output/500MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	242850/384376 	 [%] = 63.180323
Xor file present: 	243281/384376 	 [%] = 63.292453
**** File name: ./output/500MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	348486/384376 	 [%] = 90.662789
Xor file present: 	243281/384376 	 [%] = 63.292453
**** File name: ./output/500MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	242426/384376 	 [%] = 63.070015
Xor file present: 	242911/384376 	 [%] = 63.196193
**** File name: ./output/500MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	348089/384376 	 [%] = 90.559504
Xor file present: 	242911/384376 	 [%] = 63.196193
**** File name: ./output/500MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	242960/384376 	 [%] = 63.208941
Xor file present: 	242532/384376 	 [%] = 63.097592
**** File name: ./output/500MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	348765/384376 	 [%] = 90.735374
Xor file present: 	242532/384376 	 [%] = 63.097592
**** File name: ./output/500MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	242179/384376 	 [%] = 63.005755
Xor file present: 	243248/384376 	 [%] = 63.283868
**** File name: ./output/500MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	348288/384376 	 [%] = 90.611276
Xor file present: 	243248/384376 	 [%] = 63.283868
**** File name: ./output/500MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	242776/384376 	 [%] = 63.161071
Xor file present: 	242627/384376 	 [%] = 63.122307
**** File name: ./output/500MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	348509/384376 	 [%] = 90.668772
Xor file present: 	242627/384376 	 [%] = 63.122307
**** File name: ./output/500MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	242813/384376 	 [%] = 63.170697
Xor file present: 	242975/384376 	 [%] = 63.212844
**** File name: ./output/500MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	348723/384376 	 [%] = 90.724447
Xor file present: 	242975/384376 	 [%] = 63.212844
**** File name: ./output/500MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	242225/384376 	 [%] = 63.017722
Xor file present: 	243068/384376 	 [%] = 63.237039
**** File name: ./output/500MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	348205/384376 	 [%] = 90.589683
Xor file present: 	243068/384376 	 [%] = 63.237039
**** File name: ./output/500MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	242023/384376 	 [%] = 62.965170
Xor file present: 	243011/384376 	 [%] = 63.222210
**** File name: ./output/500MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	348080/384376 	 [%] = 90.557163
Xor file present: 	243011/384376 	 [%] = 63.222210
**** File name: ./output/500MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	243004/384376 	 [%] = 63.220388
Xor file present: 	242943/384376 	 [%] = 63.204518
**** File name: ./output/500MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	348679/384376 	 [%] = 90.713000
Xor file present: 	242943/384376 	 [%] = 63.204518
**** File name: ./output/500MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	242563/384376 	 [%] = 63.105657
Xor file present: 	243279/384376 	 [%] = 63.291933
**** File name: ./output/500MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	348521/384376 	 [%] = 90.671894
Xor file present: 	243279/384376 	 [%] = 63.291933
**** File name: ./output/500MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	243040/384376 	 [%] = 63.229754
Xor file present: 	242770/384376 	 [%] = 63.159510
**** File name: ./output/500MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	348516/384376 	 [%] = 90.670593
Xor file present: 	242770/384376 	 [%] = 63.159510
**** File name: ./output/500MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	242680/384376 	 [%] = 63.136096
Xor file present: 	242697/384376 	 [%] = 63.140519
**** File name: ./output/500MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	349069/384376 	 [%] = 90.814463
Xor file present: 	242697/384376 	 [%] = 63.140519
**** File name: ./output/500MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	242255/384376 	 [%] = 63.025527
Xor file present: 	242653/384376 	 [%] = 63.129072
**** File name: ./output/500MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	348221/384376 	 [%] = 90.593846
Xor file present: 	242653/384376 	 [%] = 63.129072
**** File name: ./output/500MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	242746/384376 	 [%] = 63.153267
Xor file present: 	242688/384376 	 [%] = 63.138177
**** File name: ./output/500MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	348107/384376 	 [%] = 90.564187
Xor file present: 	242688/384376 	 [%] = 63.138177
**** File name: ./output/500MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	242784/384376 	 [%] = 63.163153
Xor file present: 	243022/384376 	 [%] = 63.225071
**** File name: ./output/500MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	348529/384376 	 [%] = 90.673975
Xor file present: 	243022/384376 	 [%] = 63.225071
**** File name: ./output/500MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	242168/384376 	 [%] = 63.002893
Xor file present: 	242774/384376 	 [%] = 63.160551
**** File name: ./output/500MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	348063/384376 	 [%] = 90.552740
Xor file present: 	242774/384376 	 [%] = 63.160551
**** File name: ./output/500MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	241744/384376 	 [%] = 62.892584
Xor file present: 	242440/384376 	 [%] = 63.073657
**** File name: ./output/500MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	347355/384376 	 [%] = 90.368545
Xor file present: 	242440/384376 	 [%] = 63.073657
**** File name: ./output/500MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	242202/384376 	 [%] = 63.011739
Xor file present: 	243216/384376 	 [%] = 63.275543
**** File name: ./output/500MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	348340/384376 	 [%] = 90.624805
Xor file present: 	243216/384376 	 [%] = 63.275543
**** File name: ./output/500MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	331213/384376 	 [%] = 86.169012
Xor file present: 	332335/384376 	 [%] = 86.460913
**** File name: ./output/500MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	383973/384376 	 [%] = 99.895155
Xor file present: 	332335/384376 	 [%] = 86.460913
**** File name: ./output/500MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	332490/384376 	 [%] = 86.501238
Xor file present: 	332325/384376 	 [%] = 86.458312
**** File name: ./output/500MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	383984/384376 	 [%] = 99.898017
Xor file present: 	332325/384376 	 [%] = 86.458312
**** File name: ./output/500MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	331298/384376 	 [%] = 86.191125
Xor file present: 	329384/384376 	 [%] = 85.693175
**** File name: ./output/500MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	383932/384376 	 [%] = 99.884488
Xor file present: 	329384/384376 	 [%] = 85.693175
**** File name: ./output/500MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	331809/384376 	 [%] = 86.324068
Xor file present: 	331959/384376 	 [%] = 86.363092
**** File name: ./output/500MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	384068/384376 	 [%] = 99.919870
Xor file present: 	331959/384376 	 [%] = 86.363092
**** File name: ./output/500MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	330469/384376 	 [%] = 85.975451
Xor file present: 	330016/384376 	 [%] = 85.857598
**** File name: ./output/500MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	383876/384376 	 [%] = 99.869919
Xor file present: 	330016/384376 	 [%] = 85.857598
**** File name: ./output/500MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	332217/384376 	 [%] = 86.430214
Xor file present: 	332170/384376 	 [%] = 86.417987
**** File name: ./output/500MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	384047/384376 	 [%] = 99.914407
Xor file present: 	332170/384376 	 [%] = 86.417987
**** File name: ./output/500MB-spr2-no7.bin_clear_data.in ****
Clear file present: 	330202/384376 	 [%] = 85.905988
Xor file present: 	329767/384376 	 [%] = 85.792817
**** File name: ./output/500MB-spr2-no7.bin_clear_data.in ****
Clear file present: 	383901/384376 	 [%] = 99.876423
Xor file present: 	329767/384376 	 [%] = 85.792817
**** File name: ./output/500MB-spr2-no8.bin_clear_data.in ****
Clear file present: 	332450/384376 	 [%] = 86.490832
Xor file present: 	332053/384376 	 [%] = 86.387548
**** File name: ./output/500MB-spr2-no8.bin_clear_data.in ****
Clear file present: 	384015/384376 	 [%] = 99.906082
Xor file present: 	332053/384376 	 [%] = 86.387548
**** File name: ./output/500MB-spr2-no9.bin_clear_data.in ****
Clear file present: 	330384/384376 	 [%] = 85.953337
Xor file present: 	330890/384376 	 [%] = 86.084979
**** File name: ./output/500MB-spr2-no9.bin_clear_data.in ****
Clear file present: 	383971/384376 	 [%] = 99.894634
Xor file present: 	330890/384376 	 [%] = 86.084979
**** File name: ./output/500MB-spr2-no10.bin_clear_data.in ****
Clear file present: 	332389/384376 	 [%] = 86.474962
Xor file present: 	332349/384376 	 [%] = 86.464556
**** File name: ./output/500MB-spr2-no10.bin_clear_data.in ****
Clear file present: 	384026/384376 	 [%] = 99.908943
Xor file present: 	332349/384376 	 [%] = 86.464556
**** File name: ./output/500MB-spr2-no11.bin_clear_data.in ****
Clear file present: 	330549/384376 	 [%] = 85.996264
Xor file present: 	331125/384376 	 [%] = 86.146117
**** File name: ./output/500MB-spr2-no11.bin_clear_data.in ****
Clear file present: 	383905/384376 	 [%] = 99.877464
Xor file present: 	331125/384376 	 [%] = 86.146117
**** File name: ./output/500MB-spr2-no12.bin_clear_data.in ****
Clear file present: 	332557/384376 	 [%] = 86.518669
Xor file present: 	332478/384376 	 [%] = 86.498116
**** File name: ./output/500MB-spr2-no12.bin_clear_data.in ****
Clear file present: 	383986/384376 	 [%] = 99.898537
Xor file present: 	332478/384376 	 [%] = 86.498116
**** File name: ./output/500MB-spr2-no13.bin_clear_data.in ****
Clear file present: 	329943/384376 	 [%] = 85.838606
Xor file present: 	330192/384376 	 [%] = 85.903386
**** File name: ./output/500MB-spr2-no13.bin_clear_data.in ****
Clear file present: 	383993/384376 	 [%] = 99.900358
Xor file present: 	330192/384376 	 [%] = 85.903386
**** File name: ./output/500MB-spr2-no14.bin_clear_data.in ****
Clear file present: 	332139/384376 	 [%] = 86.409922
Xor file present: 	332131/384376 	 [%] = 86.407840
**** File name: ./output/500MB-spr2-no14.bin_clear_data.in ****
Clear file present: 	384012/384376 	 [%] = 99.905301
Xor file present: 	332131/384376 	 [%] = 86.407840
**** File name: ./output/500MB-spr2-no15.bin_clear_data.in ****
Clear file present: 	326591/384376 	 [%] = 84.966543
Xor file present: 	330841/384376 	 [%] = 86.072231
**** File name: ./output/500MB-spr2-no15.bin_clear_data.in ****
Clear file present: 	383848/384376 	 [%] = 99.862635
Xor file present: 	330841/384376 	 [%] = 86.072231
**** File name: ./output/500MB-spr2-no16.bin_clear_data.in ****
Clear file present: 	332407/384376 	 [%] = 86.479645
Xor file present: 	332406/384376 	 [%] = 86.479385
**** File name: ./output/500MB-spr2-no16.bin_clear_data.in ****
Clear file present: 	383973/384376 	 [%] = 99.895155
Xor file present: 	332406/384376 	 [%] = 86.479385
**** File name: ./output/500MB-spr2-no17.bin_clear_data.in ****
Clear file present: 	329400/384376 	 [%] = 85.697338
Xor file present: 	329549/384376 	 [%] = 85.736102
**** File name: ./output/500MB-spr2-no17.bin_clear_data.in ****
Clear file present: 	383930/384376 	 [%] = 99.883968
Xor file present: 	329549/384376 	 [%] = 85.736102
**** File name: ./output/500MB-spr2-no18.bin_clear_data.in ****
Clear file present: 	332515/384376 	 [%] = 86.507742
Xor file present: 	331389/384376 	 [%] = 86.214800
**** File name: ./output/500MB-spr2-no18.bin_clear_data.in ****
Clear file present: 	384005/384376 	 [%] = 99.903480
Xor file present: 	331389/384376 	 [%] = 86.214800
**** File name: ./output/500MB-spr2-no19.bin_clear_data.in ****
Clear file present: 	331062/384376 	 [%] = 86.129727
Xor file present: 	331543/384376 	 [%] = 86.254865
**** File name: ./output/500MB-spr2-no19.bin_clear_data.in ****
Clear file present: 	383991/384376 	 [%] = 99.899838
Xor file present: 	331543/384376 	 [%] = 86.254865
**** File name: ./output/500MB-spr2-no20.bin_clear_data.in ****
Clear file present: 	332341/384376 	 [%] = 86.462474
Xor file present: 	332517/384376 	 [%] = 86.508263
**** File name: ./output/500MB-spr2-no20.bin_clear_data.in ****
Clear file present: 	383952/384376 	 [%] = 99.889691
Xor file present: 	332517/384376 	 [%] = 86.508263
**** File name: ./output/500MB-spr2-no21.bin_clear_data.in ****
Clear file present: 	327741/384376 	 [%] = 85.265729
Xor file present: 	331790/384376 	 [%] = 86.319125
**** File name: ./output/500MB-spr2-no21.bin_clear_data.in ****
Clear file present: 	383933/384376 	 [%] = 99.884748
Xor file present: 	331790/384376 	 [%] = 86.319125
**** File name: ./output/500MB-spr2-no22.bin_clear_data.in ****
Clear file present: 	332183/384376 	 [%] = 86.421369
Xor file present: 	332131/384376 	 [%] = 86.407840
**** File name: ./output/500MB-spr2-no22.bin_clear_data.in ****
Clear file present: 	384042/384376 	 [%] = 99.913106
Xor file present: 	332131/384376 	 [%] = 86.407840
**** File name: ./output/500MB-spr2-no23.bin_clear_data.in ****
Clear file present: 	331244/384376 	 [%] = 86.177077
