**** File name: ./output/75MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	36331/57657 	 [%] = 63.012297
Xor file present: 	36493/57657 	 [%] = 63.293269
**** File name: ./output/75MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	52180/57657 	 [%] = 90.500720
Xor file present: 	36493/57657 	 [%] = 63.293269
**** File name: ./output/75MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	36397/57657 	 [%] = 63.126767
Xor file present: 	36490/57657 	 [%] = 63.288066
**** File name: ./output/75MB-spr1-no2.bin_clear_data.in ****
Clear file present: 	52277/57657 	 [%] = 90.668956
Xor file present: 	36490/57657 	 [%] = 63.288066
**** File name: ./output/75MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	36394/57657 	 [%] = 63.121564
Xor file present: 	36460/57657 	 [%] = 63.236034
**** File name: ./output/75MB-spr1-no3.bin_clear_data.in ****
Clear file present: 	52158/57657 	 [%] = 90.462563
Xor file present: 	36460/57657 	 [%] = 63.236034
**** File name: ./output/75MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	36376/57657 	 [%] = 63.090345
Xor file present: 	36477/57657 	 [%] = 63.265518
**** File name: ./output/75MB-spr1-no4.bin_clear_data.in ****
Clear file present: 	52369/57657 	 [%] = 90.828520
Xor file present: 	36477/57657 	 [%] = 63.265518
**** File name: ./output/75MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	36473/57657 	 [%] = 63.258581
Xor file present: 	36427/57657 	 [%] = 63.178799
**** File name: ./output/75MB-spr1-no5.bin_clear_data.in ****
Clear file present: 	52247/57657 	 [%] = 90.616924
Xor file present: 	36427/57657 	 [%] = 63.178799
**** File name: ./output/75MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	36359/57657 	 [%] = 63.060860
Xor file present: 	36260/57657 	 [%] = 62.889155
**** File name: ./output/75MB-spr1-no6.bin_clear_data.in ****
Clear file present: 	52080/57657 	 [%] = 90.327280
Xor file present: 	36260/57657 	 [%] = 62.889155
**** File name: ./output/75MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	35693/57657 	 [%] = 61.905753
Xor file present: 	36383/57657 	 [%] = 63.102485
**** File name: ./output/75MB-spr1-no7.bin_clear_data.in ****
Clear file present: 	51739/57657 	 [%] = 89.735852
Xor file present: 	36383/57657 	 [%] = 63.102485
**** File name: ./output/75MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	36242/57657 	 [%] = 62.857936
Xor file present: 	36487/57657 	 [%] = 63.282862
**** File name: ./output/75MB-spr1-no8.bin_clear_data.in ****
Clear file present: 	52159/57657 	 [%] = 90.464297
Xor file present: 	36487/57657 	 [%] = 63.282862
**** File name: ./output/75MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	36401/57657 	 [%] = 63.133704
Xor file present: 	36372/57657 	 [%] = 63.083407
**** File name: ./output/75MB-spr1-no9.bin_clear_data.in ****
Clear file present: 	52455/57657 	 [%] = 90.977678
Xor file present: 	36372/57657 	 [%] = 63.083407
**** File name: ./output/75MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	36309/57657 	 [%] = 62.974140
Xor file present: 	36521/57657 	 [%] = 63.341832
**** File name: ./output/75MB-spr1-no10.bin_clear_data.in ****
Clear file present: 	52120/57657 	 [%] = 90.396656
Xor file present: 	36521/57657 	 [%] = 63.341832
**** File name: ./output/75MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	36301/57657 	 [%] = 62.960265
Xor file present: 	36528/57657 	 [%] = 63.353973
**** File name: ./output/75MB-spr1-no11.bin_clear_data.in ****
Clear file present: 	52431/57657 	 [%] = 90.936053
Xor file present: 	36528/57657 	 [%] = 63.353973
**** File name: ./output/75MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	36247/57657 	 [%] = 62.866608
Xor file present: 	36725/57657 	 [%] = 63.695648
**** File name: ./output/75MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	52115/57657 	 [%] = 90.387984
Xor file present: 	36725/57657 	 [%] = 63.695648
**** File name: ./output/75MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	36485/57657 	 [%] = 63.279394
Xor file present: 	36375/57657 	 [%] = 63.088610
**** File name: ./output/75MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	52259/57657 	 [%] = 90.637737
Xor file present: 	36375/57657 	 [%] = 63.088610
**** File name: ./output/75MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	36488/57657 	 [%] = 63.284597
Xor file present: 	36396/57657 	 [%] = 63.125033
**** File name: ./output/75MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	52384/57657 	 [%] = 90.854536
Xor file present: 	36396/57657 	 [%] = 63.125033
**** File name: ./output/75MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	36259/57657 	 [%] = 62.887420
Xor file present: 	36405/57657 	 [%] = 63.140642
**** File name: ./output/75MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	52260/57657 	 [%] = 90.639471
Xor file present: 	36405/57657 	 [%] = 63.140642
**** File name: ./output/75MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	35606/57657 	 [%] = 61.754861
Xor file present: 	36383/57657 	 [%] = 63.102485
**** File name: ./output/75MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	51787/57657 	 [%] = 89.819103
Xor file present: 	36383/57657 	 [%] = 63.102485
**** File name: ./output/75MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	35457/57657 	 [%] = 61.496436
Xor file present: 	36060/57657 	 [%] = 62.542276
**** File name: ./output/75MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	51422/57657 	 [%] = 89.186049
Xor file present: 	36060/57657 	 [%] = 62.542276
**** File name: ./output/75MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	35652/57657 	 [%] = 61.834643
Xor file present: 	36346/57657 	 [%] = 63.038313
**** File name: ./output/75MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	51735/57657 	 [%] = 89.728914
Xor file present: 	36346/57657 	 [%] = 63.038313
**** File name: ./output/75MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	35599/57657 	 [%] = 61.742720
Xor file present: 	36424/57657 	 [%] = 63.173596
**** File name: ./output/75MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	51964/57657 	 [%] = 90.126091
Xor file present: 	36424/57657 	 [%] = 63.173596
**** File name: ./output/75MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	36302/57657 	 [%] = 62.961999
Xor file present: 	36466/57657 	 [%] = 63.246440
**** File name: ./output/75MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	52092/57657 	 [%] = 90.348093
Xor file present: 	36466/57657 	 [%] = 63.246440
**** File name: ./output/75MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	36230/57657 	 [%] = 62.837123
Xor file present: 	36480/57657 	 [%] = 63.270722
**** File name: ./output/75MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	52199/57657 	 [%] = 90.533673
Xor file present: 	36480/57657 	 [%] = 63.270722
**** File name: ./output/75MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	36334/57657 	 [%] = 63.017500
Xor file present: 	36507/57657 	 [%] = 63.317550
**** File name: ./output/75MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	52092/57657 	 [%] = 90.348093
Xor file present: 	36507/57657 	 [%] = 63.317550
**** File name: ./output/75MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	36416/57657 	 [%] = 63.159720
Xor file present: 	36446/57657 	 [%] = 63.211752
**** File name: ./output/75MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	52386/57657 	 [%] = 90.858005
Xor file present: 	36446/57657 	 [%] = 63.211752
**** File name: ./output/75MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	36278/57657 	 [%] = 62.920374
Xor file present: 	36468/57657 	 [%] = 63.249909
**** File name: ./output/75MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	52223/57657 	 [%] = 90.575299
Xor file present: 	36468/57657 	 [%] = 63.249909
**** File name: ./output/75MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	36420/57657 	 [%] = 63.166658
Xor file present: 	36438/57657 	 [%] = 63.197877
